time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1784821986022967800,0.2979677734375,-0.9081730246543884,-0.2653680145740509,0.07264500111341476,0.3154720067977905,-0.04179003834724426,-0.5560495853424072,2.4610025882720947
1784821986032968000,0.307968017578125,-0.9086290001869202,-0.26480498909950256,0.07165899872779846,0.31485599279403687,-0.042973604053258896,-0.5542944669723511,2.462226152420044
1784821986042967800,0.3179677734375,-0.9089710116386414,-0.26420700550079346,0.07051300257444382,0.31463098526000977,-0.04473124444484711,-0.5523440837860107,2.4624485969543457
1784821986052968000,0.327968017578125,-0.9093539714813232,-0.26357200741767883,0.06911300122737885,0.31436800956726074,-0.046965498477220535,-0.5501490831375122,2.4626479148864746
1784821986062967800,0.3379677734375,-0.9094619750976562,-0.2627660036087036,0.06793899834156036,0.3149850070476532,-0.04916871339082718,-0.5477302670478821,2.460951328277588
1784821986072968000,0.347968017578125,-0.909965991973877,-0.261911004781723,0.06664499640464783,0.31451699137687683,-0.050852518528699875,-0.5451918840408325,2.461808681488037
1784821986082967800,0.3579677734375,-0.9104750156402588,-0.2609870135784149,0.06568100303411484,0.3140139877796173,-0.051764100790023804,-0.5427512526512146,2.462954044342041
1784821986092968000,0.367968017578125,-0.9109640121459961,-0.26009601354599,0.06485699862241745,0.3135089874267578,-0.052411098033189774,-0.5404742360115051,2.4641618728637695
1784821986102968300,0.37796826171875,-0.9118430018424988,-0.25935399532318115,0.06380999833345413,0.3117769956588745,-0.05284978449344635,-0.5384072661399841,2.468090772628784
1784821986112969000,0.387968994140625,-0.9122899770736694,-0.2586340010166168,0.06325100362300873,0.3111799955368042,-0.05303356796503067,-0.5366541147232056,2.469561815261841
1784821986122968800,0.39796875,-0.9126960039138794,-0.25794801115989685,0.06290499866008759,0.3106299936771393,-0.05283307284116745,-0.535111129283905,2.4710135459899902
1784821986132969000,0.407968994140625,-0.9130079746246338,-0.25725001096725464,0.06285300105810165,0.3103019893169403,-0.05215402692556381,-0.5337315797805786,2.472090721130371
